name,email,subscribed,created_at
User 1,user1@example.com,true,2023-03-27T02:44:32.380Z
User 2,user2@example.com,false,2023-02-19T23:20:38.065Z
User 3,user3@example.com,false,2023-01-10T17:32:11.733Z
User 4,user4@example.com,false,2023-01-07T08:41:36.007Z
User 5,user5@example.com,true,2023-02-21T06:49:02.873Z
User 6,user6@example.com,false,2022-12-10T19:44:52.390Z
User 7,user7@example.com,true,2023-02-11T15:04:57.243Z
User 8,user8@example.com,true,2023-02-13T07:59:36.623Z
User 9,user9@example.com,true,2023-02-01T08:38:19.820Z
User 10,user10@example.com,true,2023-03-28T23:49:40.093Z
User 11,user11@example.com,false,2023-02-01T01:37:31.159Z
User 12,user12@example.com,false,2023-01-23T05:17:51.099Z
User 13,user13@example.com,false,2023-03-28T14:02:30.576Z
User 14,user14@example.com,true,2023-03-06T18:43:43.882Z
User 15,user15@example.com,true,2022-12-18T11:17:13.193Z
User 16,user16@example.com,true,2023-01-15T16:53:28.472Z
User 17,user17@example.com,true,2022-12-30T18:01:37.866Z
User 18,user18@example.com,false,2023-01-14T04:23:20.986Z
User 19,user19@example.com,true,2023-03-27T21:12:20.421Z
User 20,user20@example.com,false,2023-03-21T21:23:48.250Z
User 21,user21@example.com,false,2022-12-11T05:56:45.460Z
User 22,user22@example.com,true,2023-01-08T22:52:00.034Z
User 23,user23@example.com,true,2023-03-08T10:45:43.779Z
User 24,user24@example.com,true,2023-03-20T13:22:51.459Z
User 25,user25@example.com,false,2023-02-06T02:34:40.068Z
User 26,user26@example.com,false,2023-01-29T03:49:48.623Z
User 27,user27@example.com,false,2023-01-22T22:21:55.834Z
User 28,user28@example.com,false,2022-12-23T13:17:34.667Z
User 29,user29@example.com,true,2023-03-26T06:09:43.780Z
User 30,user30@example.com,false,2023-01-21T21:20:47.707Z
User 31,user31@example.com,true,2023-01-03T11:01:42.624Z
User 32,user32@example.com,true,2023-03-24T22:30:00.732Z
User 33,user33@example.com,true,2023-01-16T19:26:38.263Z
User 34,user34@example.com,false,2023-02-21T02:17:28.062Z
User 35,user35@example.com,true,2022-12-28T08:02:08.542Z
User 36,user36@example.com,false,2023-02-27T09:04:36.842Z
User 37,user37@example.com,false,2023-02-14T00:19:20.466Z
User 38,user38@example.com,false,2023-02-11T01:31:09.483Z
User 39,user39@example.com,false,2023-03-04T10:15:28.687Z
User 40,user40@example.com,true,2023-02-15T09:47:53.039Z
User 41,user41@example.com,true,2023-01-10T09:22:11.788Z
User 42,user42@example.com,false,2022-12-26T01:51:20.569Z
User 43,user43@example.com,false,2023-01-11T15:58:15.611Z
User 44,user44@example.com,false,2022-12-28T00:09:42.803Z
User 45,user45@example.com,true,2023-03-16T21:05:51.671Z
User 46,user46@example.com,false,2022-12-27T16:15:21.149Z
User 47,user47@example.com,true,2023-03-20T23:02:45.572Z
User 48,user48@example.com,true,2023-01-12T05:10:24.337Z
User 49,user49@example.com,false,2023-02-19T20:08:49.328Z
User 50,user50@example.com,true,2022-12-10T17:41:20.367Z
User 51,user51@example.com,true,2023-02-18T01:59:22.227Z
User 52,user52@example.com,true,2022-12-23T22:12:33.332Z
User 53,user53@example.com,true,2023-03-19T17:07:47.124Z
User 54,user54@example.com,false,2023-03-03T19:23:06.808Z
User 55,user55@example.com,true,2022-12-28T20:24:25.829Z
User 56,user56@example.com,false,2022-12-14T14:32:28.276Z
User 57,user57@example.com,true,2023-01-10T09:36:17.615Z
User 58,user58@example.com,true,2023-03-07T03:16:32.369Z
